customerID,Churn,customer_gender,customer_SeniorCitizen,customer_Partner,customer_Dependents,customer_tenure,phone_PhoneService,phone_MultipleLines,internet_InternetService,internet_OnlineSecurity,internet_OnlineBackup,internet_DeviceProtection,internet_TechSupport,internet_StreamingTV,internet_StreamingMovies,account_Contract,account_PaperlessBilling,account_PaymentMethod,account_Charges.Monthly,account_Charges.Total,qtd_servicos_ativos,nivel_servico,partner_dependents
0019-EFAEP,False,Female,False,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,Yes,Transferência bancária (automática),101.3,7261.25,7,Serviço completo,No_No
0019-GFNTW,False,Female,False,No,No,56,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Transferência bancária (automática),45.05,2560.1,6,Serviço completo,No_No
0020-INWCK,False,Female,False,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Cartão de crédito (automático),95.75,6849.4,6,Serviço completo,Yes_Yes
0020-JDNXP,False,Female,False,Yes,Yes,34,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Cheque enviado,61.25,1993.2,7,Serviço completo,Yes_Yes
0021-IKXGC,False,Female,True,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cheque eletrônico,72.1,72.1,3,Serviços intermediários,No_No
0022-TCJCI,True,Male,True,No,No,45,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Cartão de crédito (automático),62.7,2791.5,5,Serviços intermediários,No_No
0023-HGHWL,True,Male,True,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Cheque eletrônico,25.1,25.1,2,Serviços básicos,No_No
0023-UYUPN,False,Female,True,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Cheque eletrônico,25.2,1306.3,2,Serviços básicos,Yes_No
0023-XUOPT,True,Female,False,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,No,Cheque eletrônico,94.1,1215.6,6,Serviço completo,Yes_No
0027-KWYKW,False,Female,False,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Cheque eletrônico,83.75,1849.95,4,Serviços intermediários,Yes_Yes
0030-FNXPP,False,Female,False,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Cheque enviado,19.85,57.2,1,Serviços básicos,No_No
0031-PVLZI,True,Female,False,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Cheque enviado,20.35,76.35,1,Serviços básicos,Yes_Yes
0032-PGELS,True,Female,False,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Transferência bancária (automática),30.5,30.5,3,Serviços intermediários,Yes_Yes
0036-IHMOT,False,Female,False,Yes,Yes,55,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Transferência bancária (automática),103.7,5656.75,7,Serviço completo,Yes_Yes
0040-HALCW,False,Male,False,Yes,Yes,54,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Cartão de crédito (automático),20.4,1090.6,1,Serviços básicos,Yes_Yes
0042-JVWOJ,False,Male,False,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Transferência bancária (automática),19.6,471.85,1,Serviços básicos,No_No
0042-RLHYP,False,Female,False,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Transferência bancária (automática),19.7,1396.9,1,Serviços básicos,Yes_Yes
0048-LUMLS,False,Male,False,Yes,Yes,37,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Cartão de crédito (automático),91.2,3247.55,4,Serviços intermediários,Yes_Yes
0048-PIHNL,False,Female,False,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Transferência bancária (automática),20.45,900.9,1,Serviços básicos,Yes_No
0052-DCKON,False,Male,False,Yes,No,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Transferência bancária (automática),115.8,7942.15,9,Serviço completo,Yes_No
0052-YNYOT,False,Female,False,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Cheque eletrônico,20.55,1343.4,1,Serviços básicos,No_No
0056-EPFBG,False,Male,False,Yes,Yes,20,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Cartão de crédito (automático),39.4,825.4,5,Serviços intermediários,Yes_Yes
0057-QBUQH,False,Female,False,No,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Cheque eletrônico,25.1,1070.15,2,Serviços básicos,No_Yes
0058-EVZWM,False,Female,False,Yes,No,55,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Transferência bancária (automática),89.8,4959.6,5,Serviços intermediários,Yes_No
0060-FUALY,False,Female,False,Yes,No,59,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Cheque eletrônico,94.75,5597.65,6,Serviço completo,Yes_No
0064-SUDOG,False,Female,False,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Transferência bancária (automática),20.3,224.5,1,Serviços básicos,Yes_Yes
0064-YIJGF,False,Male,False,Yes,Yes,27,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Transferência bancária (automática),75.75,1929.0,3,Serviços intermediários,Yes_Yes
0067-DKWBL,True,Male,True,No,No,2,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Cheque eletrônico,49.25,91.1,3,Serviços intermediários,No_No
0068-FIGTF,False,Female,False,No,No,27,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Cheque enviado,78.2,2078.95,7,Serviço completo,No_No
0071-NDAFP,False,Male,False,Yes,Yes,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Cartão de crédito (automático),25.5,630.6,2,Serviços básicos,Yes_Yes
0074-HDKDG,False,Male,False,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Transferência bancária (automática),61.6,1611.0,5,Serviços intermediários,Yes_Yes
0076-LVEPS,False,Male,False,No,Yes,29,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Cheque enviado,45.0,1242.45,6,Serviço completo,No_Yes
0078-XZMHT,False,Male,False,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Transferência bancária (automática),85.15,6316.2,8,Serviço completo,Yes_No
0080-EMYVY,False,Female,False,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Cartão de crédito (automático),51.45,727.85,3,Serviços intermediários,No_No
0080-OROZO,False,Female,False,No,No,35,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Cheque eletrônico,99.25,3532.0,6,Serviço completo,No_No
0082-LDZUE,False,Male,False,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Cheque enviado,44.3,44.3,2,Serviços básicos,No_No
0082-OQIQY,False,Male,False,No,No,29,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Cheque eletrônico,94.2,2607.6,5,Serviços intermediários,No_No
0083-PIVIK,False,Male,False,No,No,64,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Cheque eletrônico,81.25,5567.55,8,Serviço completo,No_No
0089-IIQKO,False,Female,False,Yes,Yes,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Cartão de crédito (automático),99.95,3767.4,6,Serviço completo,Yes_Yes
0093-EXYQL,False,Female,True,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Cheque eletrônico,91.55,3673.6,4,Serviços intermediários,No_No
0093-XWZFY,True,Male,False,No,No,40,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Cartão de crédito (automático),104.5,4036.85,7,Serviço completo,No_No
0094-OIFMO,True,Female,True,No,No,11,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Cheque eletrônico,95.0,1120.3,5,Serviços intermediários,No_No
0096-BXERS,False,Female,False,Yes,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Cheque eletrônico,50.35,314.55,3,Serviços intermediários,Yes_No
0096-FCPUF,False,Male,False,No,No,30,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Cheque enviado,64.5,1888.45,5,Serviços intermediários,No_No
0098-BOWSO,False,Male,False,No,No,27,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Cheque eletrônico,19.4,529.8,1,Serviços básicos,No_No
0100-DUVFC,False,Male,True,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Cheque eletrônico,104.8,7308.95,7,Serviço completo,Yes_No
0103-CSITQ,False,Female,False,Yes,No,57,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Transferência bancária (automática),109.4,6252.7,8,Serviço completo,Yes_No
0104-PPXDV,False,Male,False,Yes,No,58,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Cartão de crédito (automático),50.3,2878.55,3,Serviços intermediários,Yes_No
0106-GHRQR,False,Male,False,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Transferência bancária (automática),71.4,1212.1,6,Serviço completo,No_No
0106-UGRDO,False,Female,False,Yes,No,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Cheque eletrônico,116.0,8182.85,9,Serviço completo,Yes_No
0107-WESLM,True,Male,False,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Cheque eletrônico,19.85,19.85,1,Serviços básicos,No_No
0107-YHINA,True,Male,False,No,Yes,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Cheque eletrônico,99.75,99.75,6,Serviço completo,No_Yes
0111-KLBQG,False,Male,True,Yes,Yes,32,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Cheque enviado,93.95,2861.45,5,Serviços intermediários,Yes_Yes
0112-QAWRZ,False,Male,False,Yes,Yes,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Transferência bancária (automática),90.8,1442.2,5,Serviços intermediários,Yes_Yes
0112-QWPNC,True,Male,False,Yes,No,49,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Cheque eletrônico,84.35,4059.35,8,Serviço completo,Yes_No
0114-IGABW,False,Female,False,Yes,No,71,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Transferência bancária (automática),58.25,4145.9,7,Serviço completo,Yes_No
0114-PEGZZ,False,Female,False,No,No,33,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Cheque eletrônico,107.55,3645.5,7,Serviço completo,No_No
0114-RSRRW,False,Female,False,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Transferência bancária (automática),19.95,187.75,1,Serviços básicos,Yes_No
0115-TFERT,True,Male,False,Yes,No,21,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Cheque eletrônico,111.2,2317.1,8,Serviço completo,Yes_No
0117-LFRMW,True,Male,False,Yes,Yes,37,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Transferência bancária (automática),40.2,1448.8,5,Serviços intermediários,Yes_Yes
0118-JPNOY,False,Female,True,No,No,26,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Cartão de crédito (automático),85.8,2193.65,4,Serviços intermediários,No_No
0121-SNYRK,False,Male,False,No,No,50,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Cheque enviado,35.4,1748.9,4,Serviços intermediários,No_No
0122-OAHPZ,True,Female,False,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cheque eletrônico,73.85,511.25,3,Serviços intermediários,No_No
0123-CRBRT,False,Female,False,Yes,Yes,61,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Cheque enviado,88.1,5526.75,9,Serviço completo,Yes_Yes
0125-LZQXK,True,Male,False,No,No,15,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Cheque eletrônico,101.35,1553.95,6,Serviço completo,No_No
0128-MKWSG,False,Female,False,No,Yes,26,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Cheque enviado,45.8,1147.0,5,Serviços intermediários,No_Yes
0129-KPTWJ,False,Male,False,Yes,No,72,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Cheque eletrônico,94.65,6747.35,5,Serviços intermediários,Yes_No
0129-QMPDR,False,Male,False,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Transferência bancária (automática),20.5,865.05,1,Serviços básicos,Yes_Yes
0130-SXOUN,False,Male,False,No,No,66,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Cartão de crédito (automático),89.4,5976.9,5,Serviços intermediários,No_No
0133-BMFZO,True,Female,False,No,No,2,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Cheque eletrônico,86.25,181.65,5,Serviços intermediários,No_No
0134-XWXCE,False,Female,True,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Transferência bancária (automática),74.85,3268.05,6,Serviço completo,No_No
0135-NMXAP,True,Female,False,No,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Transferência bancária (automática),89.75,1052.4,5,Serviços intermediários,No_No
0136-IFMYD,False,Male,True,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Cheque eletrônico,109.95,7634.25,8,Serviço completo,Yes_No
0137-OCGAB,True,Female,False,No,No,1,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Cheque enviado,80.2,80.2,4,Serviços intermediários,No_No
0137-UDEUO,True,Female,False,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Cheque enviado,19.85,63.75,1,Serviços básicos,No_No
0139-IVFJG,False,Female,False,Yes,No,2,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Cheque eletrônico,90.35,190.5,5,Serviços intermediários,Yes_No
0141-YEAYS,False,Female,True,No,No,27,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Transferência bancária (automática),86.45,2401.05,5,Serviços intermediários,No_No
0142-GVYSN,False,Male,False,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Cheque eletrônico,20.3,511.25,1,Serviços básicos,No_No
0147-ESWWR,False,Female,True,Yes,No,39,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Cheque eletrônico,101.25,3949.15,6,Serviço completo,Yes_No
0148-DCDOS,True,Male,False,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Transferência bancária (automática),94.7,2362.1,5,Serviços intermediários,No_No
0151-ONTOV,True,Female,False,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Cheque enviado,70.9,70.9,2,Serviços básicos,No_No
0156-FVPTA,True,Male,False,Yes,No,22,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Cheque eletrônico,54.2,1152.7,4,Serviços intermediários,Yes_No
0164-APGRB,False,Female,False,No,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Cheque eletrônico,114.9,8496.7,9,Serviço completo,No_No
0164-XAIRP,False,Female,False,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Transferência bancária (automática),19.55,470.2,1,Serviços básicos,No_No
0168-XZKBB,False,Female,False,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Cheque eletrônico,86.85,1564.4,4,Serviços intermediários,Yes_No
0174-QRVVY,False,Male,False,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Cartão de crédito (automático),25.35,1847.55,2,Serviços básicos,Yes_Yes
0177-PXBAT,False,Male,True,Yes,No,33,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Transferência bancária (automática),109.9,3694.7,8,Serviço completo,Yes_No
0178-CIIKR,False,Female,False,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Cheque enviado,19.95,58.0,1,Serviços básicos,No_No
0178-SZBHO,False,Male,False,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,No,Cheque eletrônico,87.2,4017.45,5,Serviços intermediários,Yes_Yes
0181-RITDD,False,Male,False,Yes,Yes,62,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Cheque enviado,108.15,6825.65,8,Serviço completo,Yes_Yes
0186-CAERR,False,Male,False,No,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Transferência bancária (automática),116.3,8309.55,9,Serviço completo,No_No
0187-QSXOE,False,Male,True,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Cheque eletrônico,89.0,605.45,4,Serviços intermediários,Yes_No
0187-WZNAB,False,Female,False,Yes,Yes,27,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Cheque enviado,74.4,1972.35,3,Serviços intermediários,Yes_Yes
0188-GWFLE,False,Male,False,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Cheque enviado,20.05,33.7,1,Serviços básicos,No_No
0191-EQUUH,False,Female,False,No,Yes,25,No,No phone service,DSL,Yes,No,No,Yes,No,No,Two year,No,Transferência bancária (automática),35.05,844.45,4,Serviços intermediários,No_Yes
0191-ZHSKZ,False,Male,True,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Cheque eletrônico,74.75,2111.3,6,Serviço completo,No_No
0193-ESZXP,True,Female,True,Yes,No,58,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Cartão de crédito (automático),105.5,6205.5,7,Serviço completo,Yes_No
0195-IESCP,True,Male,False,Yes,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Cheque eletrônico,85.25,855.3,4,Serviços intermediários,Yes_No
0196-JTUQI,False,Female,False,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Cartão de crédito (automático),75.2,633.85,3,Serviços intermediários,No_No
0196-VULGZ,True,Female,True,Yes,No,6,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Cheque eletrônico,84.35,474.9,4,Serviços intermediários,Yes_No
0197-PNKNK,False,Female,False,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Transferência bancária (automática),84.45,5848.6,5,Serviços intermediários,Yes_Yes
0201-MIBOL,False,Female,True,No,No,66,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,Yes,Transferência bancária (automática),102.4,6471.85,6,Serviço completo,No_No
0201-OAMXR,True,Female,False,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Cartão de crédito (automático),115.55,8127.6,9,Serviço completo,No_No
0203-HHYIJ,True,Male,False,No,No,25,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Transferência bancária (automática),25.3,676.35,2,Serviços básicos,No_No
0206-OYVOC,False,Female,False,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Cheque enviado,19.25,864.2,1,Serviços básicos,Yes_Yes
0206-TBWLC,False,Female,False,Yes,No,54,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Cheque enviado,114.65,6049.5,9,Serviço completo,Yes_No
0207-MDKNV,True,Female,False,No,No,15,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Cheque eletrônico,105.1,1582.75,7,Serviço completo,No_No
0208-BPQEJ,False,Female,False,Yes,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Transferência bancária (automática),19.4,198.1,1,Serviços básicos,Yes_Yes
0212-ISBBF,False,Female,False,No,No,22,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Cheque eletrônico,50.35,1098.85,5,Serviços intermediários,No_No
0214-JHPFW,False,Female,False,Yes,No,70,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Transferência bancária (automática),57.8,4039.3,7,Serviço completo,Yes_No
0215-BQKGS,False,Male,False,No,No,30,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Cartão de crédito (automático),84.3,2438.6,5,Serviços intermediários,No_No
0218-QNVAS,False,Male,False,Yes,Yes,71,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,No,Transferência bancária (automática),100.55,7113.75,6,Serviço completo,Yes_Yes
0219-QAERP,False,Male,False,Yes,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Cartão de crédito (automático),19.8,576.65,1,Serviços básicos,Yes_No
0219-YTZUE,True,Male,False,Yes,Yes,4,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Transferência bancária (automática),84.8,371.9,5,Serviços intermediários,Yes_Yes
0220-EBGCE,True,Male,False,No,No,2,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Cheque eletrônico,85.85,167.3,4,Serviços intermediários,No_No
0221-NAUXK,False,Male,False,No,Yes,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Transferência bancária (automática),19.95,219.5,1,Serviços básicos,No_Yes
0221-WMXNQ,False,Male,True,No,No,4,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Cheque eletrônico,75.35,273.4,3,Serviços intermediários,No_No
0222-CNVPT,False,Male,True,No,No,52,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Cartão de crédito (automático),48.8,2555.05,5,Serviços intermediários,No_No
0224-HJAPT,True,Male,False,No,No,5,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Cheque eletrônico,47.15,223.15,3,Serviços intermediários,No_No
0224-NIJLP,False,Male,False,Yes,Yes,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Cheque enviado,20.15,165.5,1,Serviços básicos,Yes_Yes
0224-RLWWD,False,Female,True,No,No,2,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Cheque eletrônico,44.3,89.3,2,Serviços básicos,No_No
0225-ZORZP,False,Male,False,No,No,3,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Cheque eletrônico,84.3,235.05,4,Serviços intermediários,No_No
0228-MAUWC,False,Male,False,No,No,19,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Cheque eletrônico,59.55,1144.6,5,Serviços intermediários,No_No
0229-LFJAF,False,Male,False,No,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Transferência bancária (automática),69.65,4908.25,7,Serviço completo,No_No
